                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3916,                 4.6196,                 1.7895,                0.03088,                0.12186,                0.04143,                0.01091,                 2.5776,                 6.2007,                 2.1961,             0.00036446,             0.00036446,             0.00036446
                      2,                 2.1213,                 3.1728,                 1.5464,                0.79146,                 0.1147,                0.08182,                0.01876,                 2.6031,                 5.0119,                 2.2669,             0.00073115,             0.00073115,             0.00073115
                      3,                 2.0388,                 2.7556,                 1.5183,                0.43755,                0.09319,                0.06563,                0.02115,                 2.8107,                  5.626,                 2.2478,              0.0010942,              0.0010942,              0.0010942
                      4,                 2.0141,                 2.4001,                 1.5091,                0.43901,                0.08602,                0.06026,                0.02403,                 2.4871,                 4.4833,                 2.2437,              0.0010945,              0.0010945,              0.0010945
                      5,                  1.959,                 2.1127,                 1.4807,                0.49412,                0.10688,                0.11412,                0.03205,                 2.8604,                  3.919,                 2.4527,               0.001089,               0.001089,               0.001089
                      6,                 1.9279,                 1.8874,                 1.4516,                0.76961,                 0.1147,                0.08871,                0.02649,                 2.5651,                 4.1871,                 2.2305,              0.0010835,              0.0010835,              0.0010835
                      7,                 1.9051,                  1.776,                 1.4058,                0.61907,                0.12545,                0.16617,                0.06813,                 2.5591,                 4.1757,                 2.1854,               0.001078,               0.001078,               0.001078
                      8,                 1.8605,                 1.5886,                 1.3945,                0.55869,                 0.1362,                0.15107,                0.06609,                 2.7062,                 3.5588,                 2.4302,              0.0010725,              0.0010725,              0.0010725
                      9,                 1.8639,                 1.5254,                 1.3974,                0.88255,                0.11828,                0.13005,                0.05694,                 2.4441,                 3.8156,                 2.1548,               0.001067,               0.001067,               0.001067
                     10,                 1.8349,                  1.465,                  1.382,                0.37203,                0.18152,                0.18639,                0.07542,                 2.6746,                 3.7204,                 2.4657,              0.0010615,              0.0010615,              0.0010615
                     11,                  1.787,                  1.402,                 1.3636,                 0.8549,                0.14415,                0.18868,                0.08303,                 2.5262,                 3.6694,                 2.1989,               0.001056,               0.001056,               0.001056
                     12,                 1.8001,                 1.3537,                 1.3411,                0.19112,                0.16001,                 0.1316,                0.05547,                 2.3876,                 3.8911,                  2.095,              0.0010505,              0.0010505,              0.0010505
                     13,                 1.7638,                 1.2997,                 1.3202,                0.53032,                0.12545,                0.16071,                0.06684,                 2.5931,                 4.3235,                 2.2014,               0.001045,               0.001045,               0.001045
                     14,                  1.763,                 1.2576,                 1.3145,                  0.334,                0.17076,                0.18862,                0.06406,                 2.7003,                 3.6577,                 2.4948,              0.0010395,              0.0010395,              0.0010395
                     15,                 1.7397,                 1.2005,                 1.2968,                0.83928,                0.12903,                0.11822,                0.04558,                 2.6287,                 4.0004,                 2.4023,               0.001034,               0.001034,               0.001034
                     16,                  1.725,                 1.1835,                 1.2867,                0.55076,                0.13262,                0.12915,                0.04498,                  2.875,                 4.2388,                 2.6927,              0.0010285,              0.0010285,              0.0010285
                     17,                 1.6898,                 1.1544,                 1.2874,                0.57126,                0.12903,                0.16026,                0.06614,                  2.821,                 3.9478,                    2.5,               0.001023,               0.001023,               0.001023
                     18,                 1.7034,                 1.1469,                 1.2882,                0.54629,                0.12903,                0.14306,                0.06072,                 2.7239,                 3.8523,                 2.5631,              0.0010175,              0.0010175,              0.0010175
                     19,                  1.703,                 1.1279,                 1.2813,                0.59678,                0.12186,                 0.1479,                0.06303,                 2.6968,                 4.4521,                 2.4308,               0.001012,               0.001012,               0.001012
                     20,                 1.6874,                 1.0886,                 1.2768,                0.86131,                0.14337,                0.14927,                0.05518,                 2.7602,                  4.526,                 2.5388,              0.0010065,              0.0010065,              0.0010065
                     21,                 1.6718,                 1.0794,                 1.2683,                0.83459,                0.13262,                0.10673,                0.03813,                 2.6948,                 4.2048,                  2.444,               0.001001,               0.001001,               0.001001
                     22,                 1.6615,                 1.0553,                 1.2499,                0.52614,                0.14695,                0.14147,                0.05918,                 2.6789,                 4.2833,                 2.5022,             0.00099551,             0.00099551,             0.00099551
                     23,                 1.6688,                 1.0592,                 1.2708,                0.51188,                0.17204,                0.16575,                0.06455,                 2.7982,                 4.0794,                 2.5054,             0.00099001,             0.00099001,             0.00099001
