                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0933,                0.53953,                 1.0032,                 0.5214,                0.15412,                0.17383,                0.07525,                 2.9101,                 5.5189,                 3.0558,             0.00036446,             0.00036446,             0.00036446
                      2,                  1.182,                0.58979,                  1.033,                0.51484,                0.14337,                 0.2017,                0.06567,                 2.8257,                 5.8851,                 2.9746,             0.00070569,             0.00070569,             0.00070569
                      3,                 1.2038,                0.61824,                  1.052,                0.52537,                0.16076,                0.19393,                 0.0842,                 2.8771,                 4.9692,                 3.2096,              0.0010176,              0.0010176,              0.0010176
                      4,                 1.2441,                  0.638,                 1.0644,                0.52217,                0.14989,                0.15653,                0.06434,                  2.831,                 4.7885,                 3.2331,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.2383,                0.64464,                 1.0663,                 0.5389,                0.13978,                0.16121,                0.06779,                 2.9033,                 5.0576,                 3.3624,             0.00093502,             0.00093502,             0.00093502
                      6,                 1.2568,                0.65741,                 1.0687,                0.52218,                0.15054,                0.14373,                0.05417,                 2.9793,                 5.3134,                 3.3438,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.2636,                0.65143,                 1.0625,                0.49731,                0.12903,                0.17375,                0.07635,                 3.0534,                 5.9273,                  3.327,             0.00084703,             0.00084703,             0.00084703
                      8,                 1.2525,                0.63868,                 1.0683,                0.54958,                0.13978,                0.23344,                0.08771,                 3.0545,                 5.1756,                 3.3904,             0.00080303,             0.00080303,             0.00080303
                      9,                 1.2413,                0.62654,                 1.0699,                0.90613,                0.12545,                 0.1622,                0.06469,                 2.9206,                 5.1448,                    3.5,             0.00075904,             0.00075904,             0.00075904
                     10,                 1.2376,                0.62255,                 1.0603,                0.51514,                0.14337,                0.12618,                0.05051,                 2.9359,                 4.9276,                   3.24,             0.00071504,             0.00071504,             0.00071504
                     11,                 1.2044,                0.61152,                 1.0527,                0.50764,                0.15771,                0.15497,                0.07004,                 2.8383,                 5.5642,                 3.2357,             0.00067104,             0.00067104,             0.00067104
                     12,                 1.1997,                0.61269,                 1.0457,                0.51814,                0.13978,                0.12007,                0.05246,                 3.0413,                 5.5796,                 3.4892,             0.00062705,             0.00062705,             0.00062705
                     13,                 1.1866,                0.60415,                 1.0448,                0.51301,                 0.1362,                0.10814,                0.04253,                 2.9025,                 5.6172,                 3.3838,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.1822,                0.59087,                  1.038,                0.92227,                0.12965,                 0.1849,                0.09195,                 2.7157,                 5.6831,                 3.0999,             0.00053906,             0.00053906,             0.00053906
                     15,                 1.1908,                0.58928,                 1.0415,                 0.1921,                0.14337,                0.14995,                0.06354,                 2.8517,                 5.4693,                  3.092,             0.00049506,             0.00049506,             0.00049506
                     16,                 1.2106,                0.58044,                 1.0714,                0.56785,                 0.1362,                0.16311,                0.07365,                 2.9899,                  5.152,                 3.4581,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.1482,                0.54063,                 1.0557,                0.88943,                0.12999,                0.15922,                0.07062,                 2.9936,                 5.3916,                 3.4405,             0.00040707,             0.00040707,             0.00040707
                     18,                  1.128,                0.52736,                  1.046,                0.92552,                0.13262,                0.16836,                0.07855,                 2.9375,                  5.126,                 3.4405,             0.00036307,             0.00036307,             0.00036307
                     19,                 1.1154,                0.52532,                  1.037,                0.51852,                0.14337,                0.16533,                 0.0733,                 2.8708,                 5.6187,                 3.1701,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.0899,                0.50584,                 1.0349,                0.92562,                 0.1248,                0.17068,                0.08003,                 3.0103,                 5.3506,                 3.4848,             0.00027508,             0.00027508,             0.00027508
                     21,                 1.0897,                0.50756,                   1.03,                0.52453,                0.14695,                 0.1496,                0.06505,                 3.0213,                 5.4017,                 3.5553,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.0655,                0.49809,                 1.0185,                0.51752,                0.14695,                0.15376,                 0.0713,                 2.9337,                 5.3051,                 3.4348,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.0489,                0.49023,                 1.0137,                0.92279,                0.12186,                0.16511,                0.07256,                 2.9849,                  5.466,                 3.4726,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.0261,                0.48078,                 1.0011,                0.53061,                0.14695,                0.16827,                0.07694,                 2.9394,                 5.4524,                 3.4534,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                 1.0152,                0.48198,                0.99934,                0.52342,                0.14337,                0.16697,                0.07343,                 2.9708,                 5.5088,                 3.4941,             5.5106e-05,             5.5106e-05,             5.5106e-05
